elapsed_s,FRET_mA,FRET_V,DAMPER_mA,DAMPER_V,PICK_mA,PICK_V
0.000,1.25,9.91,693.75,0.00,-1.25,1.35
0.064,2.50,9.98,882.50,0.00,-1.25,1.37
0.099,0.00,10.03,62.50,0.00,0.00,1.32
0.132,1.25,9.47,568.75,0.00,1.25,1.32
0.172,1.25,9.57,860.00,0.00,0.00,1.36
0.198,1.25,10.06,732.50,0.00,0.00,1.39
0.240,-2.50,9.91,860.00,0.00,-1.25,1.38
0.298,0.00,9.91,870.00,0.00,-2.50,1.33
0.325,1.25,11.20,681.25,0.00,0.00,1.32
0.346,0.00,9.81,738.75,0.00,-1.25,1.32
0.367,10.00,10.03,202.50,0.00,-1.25,1.31
0.389,1.25,9.94,872.50,0.00,0.00,1.31
0.410,1.25,9.43,643.75,0.00,-1.25,1.40
0.431,0.00,10.22,421.25,0.00,-1.25,1.40
0.452,2.50,9.52,822.50,0.00,0.00,1.40
0.472,1.25,10.06,7.50,0.00,0.00,1.40
0.492,1.25,9.89,868.75,0.00,1.25,1.39
0.512,1.25,10.15,-142.50,0.00,0.00,1.39
0.534,2.50,9.69,405.00,0.00,-1.25,1.35
0.560,11.25,10.04,503.75,0.00,0.00,1.33
0.586,-2.50,9.57,868.75,0.00,1.25,1.39
0.614,1.25,11.11,890.00,0.00,0.00,1.36
0.641,-1.25,9.51,765.00,0.00,1.25,1.33
0.663,3.75,10.00,373.75,0.00,1.25,1.32
0.685,0.00,9.48,681.25,0.00,0.00,1.32
0.705,0.00,10.06,672.50,0.00,-1.25,1.33
0.725,2.50,9.59,750.00,0.00,0.00,1.32
0.746,0.00,10.17,-262.50,0.00,-1.25,1.33
0.765,0.00,9.82,887.50,0.00,1.25,1.33
0.785,1.25,10.10,477.50,1.95,0.00,1.33
0.804,1.25,9.97,336.25,0.00,0.00,1.33
0.824,1.25,9.58,865.00,0.00,0.00,1.32
0.846,1.25,10.17,433.75,0.00,0.00,1.31
0.867,0.00,9.76,771.25,0.00,1.25,1.34
0.891,1.25,11.72,716.25,0.00,-1.25,1.39
0.913,1.25,9.59,703.75,0.00,0.00,1.39
0.933,2.50,11.61,702.50,0.14,0.00,1.39
0.952,1.25,9.72,781.25,0.00,0.00,1.40
0.972,1.25,10.08,-27.50,0.00,-1.25,1.40
0.991,0.00,10.03,871.25,0.00,0.00,1.31
1.011,1.25,9.45,561.25,0.01,1.25,1.32
1.030,-1.25,10.14,191.25,0.00,1.25,1.33
1.050,1.25,9.69,880.00,0.00,1.25,1.35
1.070,3.75,10.04,67.50,0.00,-1.25,1.36
1.090,-1.25,9.70,723.75,0.00,-1.25,1.36
1.118,20.00,10.03,337.50,0.00,-2.50,1.35
1.141,1.25,9.90,862.50,0.00,0.00,1.33
1.167,3.75,10.04,558.75,0.00,-1.25,1.32
1.188,1.25,9.65,293.75,0.00,0.00,1.31
1.208,0.00,11.61,697.50,0.00,-1.25,1.31
1.228,2.50,9.80,751.25,0.00,0.00,1.31
1.248,2.50,10.17,698.75,0.00,0.00,1.31
1.268,1.25,9.96,737.50,0.00,0.00,1.35
1.301,1.25,10.03,188.75,0.00,-1.25,1.40
1.335,1.25,11.53,523.75,0.49,0.00,1.40
1.372,1.25,9.76,868.75,0.00,0.00,1.34
1.408,1.25,9.88,703.75,0.00,0.00,1.35
1.439,0.00,10.27,595.00,0.00,0.00,1.33
1.464,1.25,9.61,500.00,0.00,-1.25,1.34
1.501,1.25,9.87,736.25,0.00,0.00,1.33
1.526,1.25,10.95,700.00,0.00,0.00,1.32
1.546,61.25,9.99,728.75,0.00,0.00,1.32
1.565,1.25,9.54,876.25,0.00,0.00,1.32
1.585,0.00,10.03,388.75,0.00,0.00,1.33
1.605,0.00,9.67,746.25,0.00,-1.25,1.33
1.624,1.25,10.84,695.00,0.00,0.00,1.33
1.644,0.00,9.86,697.50,0.00,-1.25,1.32
1.667,0.00,10.14,677.50,0.09,-1.25,1.32
1.686,1.25,9.95,776.25,0.00,0.00,1.32
1.705,0.00,9.49,557.50,0.00,1.25,1.32
1.725,0.00,11.57,673.75,0.00,1.25,1.32
1.744,5.00,9.67,740.00,0.00,0.00,1.33
1.764,0.00,10.11,332.50,0.00,0.00,1.33
1.783,0.00,9.92,883.75,0.00,0.00,1.34
