elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,2.50,10.22,727.50,0.00,-1.25,1.34
0.069,2.50,9.56,443.75,0.00,-1.25,1.34
0.127,-1.25,10.17,68.75,0.00,-1.25,1.35
0.186,1.25,10.13,711.25,0.00,0.00,1.39
0.244,0.00,9.80,723.75,0.00,1.25,1.39
0.301,1.25,9.53,506.25,1.07,-1.25,1.39
0.361,0.00,10.18,445.00,0.00,0.00,1.36
0.419,0.00,10.09,692.50,0.00,1.25,1.32
0.474,111.25,9.82,882.50,0.00,-1.25,1.32
0.533,1.25,9.49,486.25,0.00,-1.25,1.34
0.589,2.50,10.79,255.00,0.00,-1.25,1.36
0.647,-8.75,10.14,600.00,0.00,0.00,1.37
0.704,0.00,9.96,597.50,0.00,0.00,1.34
0.771,2.50,9.48,170.00,0.00,-1.25,1.35
0.849,3648.75,9.22,323.75,0.00,0.00,1.34
0.909,4105.00,9.21,466.25,0.00,0.00,1.35
0.967,4112.50,9.21,340.00,1.08,-1.25,1.36
1.026,4112.50,9.25,460.00,0.00,0.00,1.35
1.087,1.25,10.56,386.25,0.00,-1.25,1.38
1.143,-1.25,10.05,607.50,0.00,0.00,1.37
1.204,0.00,9.70,693.75,0.00,0.00,1.40
1.261,0.00,11.19,681.25,0.00,0.00,1.35
1.328,7.50,10.15,868.75,0.00,0.00,1.32
1.396,1.25,9.40,557.50,0.21,0.00,1.31
1.456,0.00,11.58,-397.50,0.00,0.00,1.33
1.513,-1.25,10.92,361.25,0.00,-1.25,1.31
1.579,1971.25,0.45,101.25,0.00,0.00,1.31
1.637,3626.25,9.92,220.00,0.00,0.00,1.31
1.696,3928.75,9.68,212.50,0.40,0.00,1.32
1.754,4058.75,9.21,486.25,0.00,0.00,1.38
1.826,4116.25,10.10,458.75,0.00,0.00,1.32
1.895,3948.75,10.22,462.50,0.00,-1.25,1.31
1.958,4116.25,9.20,455.00,0.00,0.00,1.31
2.036,-158.75,9.84,620.00,0.33,0.00,1.34
2.112,0.00,10.00,866.25,0.24,0.00,1.33
2.180,7.50,10.05,727.50,0.00,-1.25,1.36
2.245,0.00,0.81,483.75,0.00,0.00,1.34
2.329,4158.75,9.39,370.00,0.75,0.00,1.33
2.392,4222.50,9.24,473.75,0.79,0.00,1.33
2.453,4188.75,10.06,-183.75,0.40,-1.25,1.34
2.509,4225.00,9.17,468.75,0.78,0.00,1.35
2.568,4230.00,9.24,-160.00,0.75,-1.25,1.37
2.625,4231.25,9.18,492.50,0.00,0.00,1.38
2.681,3785.00,9.17,471.25,0.00,1.25,1.31
2.737,3745.00,10.14,143.75,0.69,-1.25,1.32
2.795,4231.25,9.16,382.50,0.80,0.00,1.31
2.859,4233.75,9.21,466.25,0.87,1.25,1.34
2.918,4227.50,9.19,-157.50,0.31,0.00,1.32
2.976,4228.75,9.17,463.75,0.80,0.00,1.32
3.033,4221.25,9.15,-116.25,0.82,0.00,1.32
3.093,4223.75,9.19,458.75,0.82,0.00,1.34
3.150,4231.25,9.17,368.75,0.80,-1.25,1.35
3.207,4233.75,9.16,465.00,0.81,-1.25,1.36
3.266,4211.25,9.22,335.00,0.00,-1.25,1.35
3.349,3713.75,9.21,463.75,0.00,0.00,1.34
3.430,4107.50,10.11,-27.50,0.83,1.25,1.38
3.501,4083.75,9.23,23.75,0.77,0.00,1.40
3.559,4097.50,9.64,-28.75,0.33,0.00,1.33
3.618,4106.25,9.19,361.25,0.00,0.00,1.33
3.672,3603.75,10.17,257.50,0.29,1.25,1.32
3.736,4085.00,9.74,-81.25,0.25,0.00,1.32
3.794,4110.00,9.45,141.25,0.21,0.00,1.33
3.852,4118.75,9.23,-3.75,0.85,0.00,1.35
3.909,4116.25,9.22,13.75,0.17,0.00,1.32
3.975,4111.25,9.81,447.50,0.00,0.00,1.31
4.037,4078.75,9.55,73.75,0.00,-1.25,1.33
4.093,4103.75,9.22,32.50,0.83,1.25,1.33
4.151,4110.00,9.24,335.00,0.72,0.00,1.33
4.213,4112.50,10.02,35.00,0.00,-1.25,1.35
4.269,4098.75,9.36,3.75,0.00,-1.25,1.35
4.327,4100.00,9.18,295.00,0.00,1.25,1.31
4.396,4111.25,10.18,462.50,0.18,-1.25,1.38
4.463,3497.50,9.33,470.00,0.00,1.25,1.39
4.521,3693.75,10.00,478.75,0.00,0.00,1.39
