Time(s),Fret_Current(mA),Fret_Voltage(V),Damper_Current(mA),Damper_Voltage(V),Pick_Current(mA),Pick_Voltage(V)
0.003,,,,,,
0.015,1.25,9.950000000000001,3.75,0.0225,,0.005
0.025,992.5,9.307500000000001,-2.5,0.08125,,0.005
0.036,3405.0,9.12125,-1.25,0.01125,,0.005
0.046,3312.5,9.16125,,0.02125,,0.005
0.056,3135.0,9.18625,1.25,0.08125,,0.005
0.067,3553.75,9.07875,2.5,0.02125,-1.25,0.00375
0.077,3547.5,9.088750000000001,2.5,0.02125,-1.25,0.00375
0.087,3473.75,9.106250000000001,,0.15,-1.25,0.00375
0.098,3475.0,9.10875,-1.25,0.04,-1.25,0.00375
0.108,3520.0,9.095,-1.25,0.04,-1.25,0.00375
0.119,3547.5,9.09375,-1.25,0.01875,-1.25,0.0025
0.129,3540.0,9.0825,-1.25,0.02,-1.25,0.0025
0.139,3536.25,9.09625,1.25,0.058750000000000004,-1.25,0.0025
0.149,3543.75,9.07875,,0.06125,-1.25,0.0025
0.159,3535.0,9.0875,,0.02125,-1.25,0.00375
0.169,3526.25,9.09,2.5,0.01375,-1.25,0.00375
0.180,3542.5,9.08,,0.02,-1.25,0.00375
0.190,3548.75,9.0975,-1.25,0.0175,-1.25,0.00375
0.200,3548.75,9.09625,-3.75,0.09375,-1.25,0.00375
0.210,3550.0,9.08125,,0.02375,1.25,0.00375
0.220,3550.0,9.09125,-1.25,0.015,1.25,0.00375
0.230,3541.25,9.09625,-2.5,0.08375,1.25,0.00375
0.241,3551.25,9.08125,1.25,0.165,1.25,0.00375
0.251,3546.25,9.085,-6.25,0.115,1.25,0.00375
0.261,3531.25,9.09,1.25,0.0175,2.5,0.00375
0.271,3527.5,9.09125,-1.25,0.01625,2.5,0.00375
0.281,3548.75,9.09,,0.0225,2.5,0.00375
0.291,3551.25,9.095,,0.1475,2.5,0.00375
0.302,3532.5,9.09,,0.0375,2.5,0.00375
0.312,3548.75,9.085,,0.02125,-1.25,0.00375
0.322,3531.25,9.0825,1.25,0.02375,-1.25,0.00375
0.332,3552.5,9.095,,0.0275,-1.25,0.00375
0.342,3548.75,9.1,3.75,0.08375,-1.25,0.00375
0.352,3547.5,9.08625,-1.25,0.02,-1.25,0.00375
0.363,3543.75,9.09,-1.25,0.035,-1.25,0.005
0.373,3551.25,9.09375,1.25,0.02,-1.25,0.005
0.383,3560.0,9.102500000000001,,0.1,-1.25,0.005
0.393,3548.75,9.09625,2.5,0.0625,-1.25,0.005
0.403,3551.25,9.0875,-3.75,0.025,-1.25,0.005
0.413,3551.25,9.07875,-1.25,0.03125,,0.00125
0.424,3540.0,9.09,,0.02125,,0.00125
0.434,3551.25,9.0925,1.25,0.07,,0.00125
0.444,3551.25,9.09125,6.25,0.055,,0.00125
0.454,3550.0,9.08625,1.25,0.015,,0.00125
0.465,3551.25,9.0825,6.25,0.07875,-1.25,0.00375
0.475,3547.5,9.08625,1.25,0.135,-1.25,0.00375
0.486,3533.75,9.08625,-3.75,0.025,-1.25,0.00375
0.496,3532.5,9.0925,1.25,0.0275,-1.25,0.00375
0.508,3555.0,9.09,,0.01,-1.25,0.00375
0.519,3545.0,9.0875,1.25,0.06875,,0.005
0.529,3552.5,9.08375,1.25,0.07125000000000001,,0.005
0.540,3552.5,9.08375,-3.75,0.03875,,0.005
0.550,3551.25,9.08625,,0.025,,0.005
0.561,3553.75,9.08125,,0.17125,,
0.571,3528.75,9.0925,-3.75,0.02625,,
0.582,3551.25,9.0875,-2.5,0.0175,,
0.593,3541.25,9.0825,1.25,0.02,,
0.604,3540.0,9.0875,,0.0275,,
0.614,3548.75,9.09125,-6.25,0.0225,-1.25,0.00375
0.625,3545.0,9.08375,,0.02375,-1.25,0.00375
0.635,3548.75,9.08375,-1.25,0.025,-1.25,0.00375
0.645,3542.5,9.0875,-1.25,0.025,-1.25,0.00375
0.656,3552.5,9.075000000000001,-3.75,0.115,-1.25,0.00375
0.666,3543.75,9.08625,3.75,0.0575,,0.00375
0.676,3551.25,9.08625,-1.25,0.025,,0.00375
0.687,3526.25,9.08625,,0.045,,0.00375
0.697,3552.5,9.095,1.25,0.0575,,0.00375
0.707,3547.5,9.0925,-1.25,0.03875,,0.00375
0.718,3553.75,9.085,-2.5,0.02625,,0.00375
0.728,3556.25,9.07875,,0.03125,,0.00375
0.738,3555.0,9.09,,0.01625,,0.00375
0.748,3551.25,9.08375,-1.25,0.0975,,0.00375
0.759,3553.75,9.08625,3.75,0.09125,,0.00375
0.769,3546.25,9.0825,,0.015,,0.00375
0.779,3551.25,9.08,-1.25,0.02,,0.00375
0.789,3553.75,9.0875,,0.11125,,0.00375
0.799,3551.25,9.07875,,0.10125,,0.00375
0.810,3553.75,9.10125,-2.5,0.02375,,0.00375
0.820,3533.75,9.088750000000001,1.25,0.02375,-1.25,0.0025
0.830,3557.5,9.08375,,0.0175,-1.25,0.0025
0.840,3537.5,9.095,,0.13,-1.25,0.0025
0.850,3547.5,9.09,1.25,0.07375,-1.25,0.0025
0.861,3552.5,9.0675,-1.25,0.02375,,0.005
0.872,3546.25,9.08,,0.0225,,0.005
0.882,3556.25,9.085,-1.25,0.01875,,0.005
0.892,3547.5,9.0875,,0.095,,0.005
0.902,3545.0,9.085,-6.25,0.08625000000000001,,0.005
0.913,3551.25,9.085,,0.025,,0.00625
0.923,3537.5,9.0925,,0.02,,0.00625
0.933,3538.75,9.0875,,0.01875,,0.00625
0.943,3553.75,9.095,-2.5,0.07875,,0.00625
0.953,3552.5,9.09,-3.75,0.0225,,0.00625
0.963,3540.0,9.0825,-2.5,0.1625,,0.00625
0.974,3548.75,9.08375,,0.015,,
0.984,3555.0,9.088750000000001,1.25,0.08625000000000001,,
0.994,3555.0,9.08625,-2.5,0.0825,,
1.005,3555.0,9.07875,,0.0325,,
1.015,3542.5,9.09125,-1.25,0.10250000000000001,-1.25,
1.025,3543.75,9.088750000000001,,0.02125,-1.25,
1.035,3547.5,9.0875,-3.75,0.11625,-1.25,
1.045,3550.0,9.08625,8.75,0.075,-1.25,
1.056,3533.75,9.08625,,0.015,-1.25,
1.066,3533.75,9.088750000000001,-2.5,0.02875,1.25,0.00375
1.076,3543.75,9.09125,,0.13625,1.25,0.00375
1.086,3552.5,9.0875,-2.5,0.11125,1.25,0.00375
1.096,3550.0,9.088750000000001,-3.75,0.02125,1.25,0.00375
1.106,3547.5,9.08375,,0.0175,1.25,0.00375
1.117,3551.25,9.09125,,0.043750000000000004,1.25,0.00375
1.127,3552.5,9.088750000000001,1.25,0.02625,1.25,0.00375
1.137,3558.75,9.085,5.0,0.06125,1.25,0.00375
