Element Object,Element Type,Pitch/Rest,Start Time,End Time,Duration (sec)
<music21.note.Note F>,Note,F2,0:00:00,0:00:00.206897,0.207
<music21.note.Note G>,Note,G2,0:00:00.206897,0:00:00.413793,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:00.413793,0:00:00.620690,0.207
<music21.note.Note B->,Note,B-2,0:00:00.620690,0:00:00.827586,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:00.827586,0:00:01.034483,0.207
<music21.note.Note C>,Note,C3,0:00:01.034483,0:00:01.241379,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:01.241379,0:00:01.448276,0.207
<music21.note.Note D>,Note,D3,0:00:01.448276,0:00:01.655172,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:01.655172,0:00:01.862069,0.207
<music21.note.Note F>,Note,F3,0:00:01.862069,0:00:02.068966,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:02.068966,0:00:02.275862,0.207
<music21.note.Note D>,Note,D3,0:00:02.275862,0:00:02.482759,0.207
<music21.note.Note F>,Note,F3,0:00:02.482759,0:00:02.689655,0.207
<music21.note.Note G>,Note,G3,0:00:02.689655,0:00:02.896552,0.207
<music21.note.Note F>,Note,F3,0:00:02.896552,0:00:03.103448,0.207
<music21.note.Note G>,Note,G3,0:00:03.103448,0:00:03.310345,0.207
<music21.note.Note F>,Note,F2,0:00:03.310345,0:00:03.517241,0.207
<music21.note.Note G>,Note,G2,0:00:03.517241,0:00:03.724138,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:03.724138,0:00:03.931034,0.207
<music21.note.Note B->,Note,B-2,0:00:03.931034,0:00:04.137931,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:04.137931,0:00:04.344828,0.207
<music21.note.Note C>,Note,C3,0:00:04.344828,0:00:04.551724,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:04.551724,0:00:04.758621,0.207
<music21.note.Note D>,Note,D3,0:00:04.758621,0:00:04.965517,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:04.965517,0:00:05.172414,0.207
<music21.note.Note F>,Note,F3,0:00:05.172414,0:00:05.379310,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:05.379310,0:00:05.586207,0.207
<music21.note.Note D>,Note,D3,0:00:05.586207,0:00:05.793103,0.207
<music21.note.Note F>,Note,F3,0:00:05.793103,0:00:06,0.207
<music21.note.Note G>,Note,G3,0:00:06,0:00:06.206897,0.207
<music21.note.Note F>,Note,F3,0:00:06.206897,0:00:06.413793,0.207
<music21.note.Note G>,Note,G3,0:00:06.413793,0:00:06.620690,0.207
<music21.note.Note F>,Note,F2,0:00:06.620690,0:00:06.827586,0.207
<music21.note.Note G>,Note,G2,0:00:06.827586,0:00:07.034483,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:07.034483,0:00:07.241379,0.207
<music21.note.Note B->,Note,B-2,0:00:07.241379,0:00:07.448276,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:07.448276,0:00:07.655172,0.207
<music21.note.Note C>,Note,C3,0:00:07.655172,0:00:07.862069,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:07.862069,0:00:08.068966,0.207
<music21.note.Note D>,Note,D3,0:00:08.068966,0:00:08.275862,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:08.275862,0:00:08.482759,0.207
<music21.note.Note F>,Note,F3,0:00:08.482759,0:00:08.689655,0.207
<music21.note.Rest eighth>,Rest,Rest,0:00:08.689655,0:00:08.896552,0.207
<music21.note.Note D>,Note,D3,0:00:08.896552,0:00:09.103448,0.207
<music21.note.Note F>,Note,F3,0:00:09.103448,0:00:09.310345,0.207
<music21.note.Note G>,Note,G3,0:00:09.310345,0:00:09.517241,0.207
<music21.note.Note B->,Note,B-3,0:00:09.517241,0:00:09.724138,0.207
<music21.note.Note C>,Note,C3,0:00:09.724138,0:00:09.931034,0.207
