Element,Note/Rest,Start Time,End Time,Duration
<music21.note.Note E>,E2,0:00:00,0:00:00.750000,0.75
<music21.note.Note E>,E2,0:00:00.750000,0:00:01,0.25
<music21.note.Note G>,G2,0:00:01,0:00:01.250000,0.25
<music21.note.Rest 16th>,rest,0:00:01.250000,0:00:01.375000,0.125
<music21.note.Note E>,E2,0:00:01.375000,0:00:01.750000,0.375
<music21.note.Note D>,D2,0:00:01.750000,0:00:02,0.25
<music21.note.Note C>,C2,0:00:02,0:00:03,1.0
<music21.note.Note B>,B1,0:00:03,0:00:04,1.0
<music21.note.Note E>,E2,0:00:04,0:00:04.750000,0.75
<music21.note.Note E>,E2,0:00:04.750000,0:00:05,0.25
<music21.note.Note G>,G2,0:00:05,0:00:05.250000,0.25
<music21.note.Rest 16th>,rest,0:00:05.250000,0:00:05.375000,0.125
<music21.note.Note E>,E2,0:00:05.375000,0:00:05.750000,0.375
<music21.note.Note D>,D2,0:00:05.750000,0:00:06,0.25
<music21.note.Note C>,C2,0:00:06,0:00:07,1.0
<music21.note.Note B>,B1,0:00:07,0:00:08,1.0
<music21.note.Note E>,E2,0:00:08,0:00:08.750000,0.75
<music21.note.Note E>,E2,0:00:08.750000,0:00:09,0.25
<music21.note.Note G>,G2,0:00:09,0:00:09.250000,0.25
<music21.note.Rest 16th>,rest,0:00:09.250000,0:00:09.375000,0.125
<music21.note.Note E>,E2,0:00:09.375000,0:00:09.750000,0.375
<music21.note.Note D>,D2,0:00:09.750000,0:00:10,0.25
<music21.note.Note C>,C2,0:00:10,0:00:11,1.0
<music21.note.Note B>,B1,0:00:11,0:00:12,1.0
<music21.note.Note E>,E2,0:00:12,0:00:12.750000,0.75
<music21.note.Note E>,E2,0:00:12.750000,0:00:13,0.25
<music21.note.Note G>,G2,0:00:13,0:00:13.250000,0.25
<music21.note.Rest 16th>,rest,0:00:13.250000,0:00:13.375000,0.125
<music21.note.Note E>,E2,0:00:13.375000,0:00:13.750000,0.375
<music21.note.Note D>,D2,0:00:13.750000,0:00:14,0.25
<music21.note.Note C>,C2,0:00:14,0:00:15,1.0
<music21.note.Note B>,B1,0:00:15,0:00:16,1.0
<music21.note.Note E>,E2,0:00:16,0:00:16.750000,0.75
<music21.note.Note E>,E2,0:00:16.750000,0:00:17,0.25
<music21.note.Note G>,G2,0:00:17,0:00:17.250000,0.25
<music21.note.Rest 16th>,rest,0:00:17.250000,0:00:17.375000,0.125
<music21.note.Note E>,E2,0:00:17.375000,0:00:17.750000,0.375
<music21.note.Note D>,D2,0:00:17.750000,0:00:18,0.25
<music21.note.Note C>,C2,0:00:18,0:00:19,1.0
<music21.note.Note B>,B1,0:00:19,0:00:20,1.0
<music21.note.Note E>,E2,0:00:20,0:00:20.750000,0.75
<music21.note.Note E>,E2,0:00:20.750000,0:00:21,0.25
<music21.note.Note G>,G2,0:00:21,0:00:21.250000,0.25
<music21.note.Rest 16th>,rest,0:00:21.250000,0:00:21.375000,0.125
<music21.note.Note E>,E2,0:00:21.375000,0:00:21.750000,0.375
<music21.note.Note D>,D2,0:00:21.750000,0:00:22,0.25
<music21.note.Note C>,C2,0:00:22,0:00:23,1.0
<music21.note.Note B>,B1,0:00:23,0:00:24,1.0
<music21.note.Rest whole>,rest,0:00:24,0:00:26,2.0
<music21.note.Rest whole>,rest,0:00:26,0:00:28,2.0
<music21.note.Rest whole>,rest,0:00:28,0:00:30,2.0
<music21.note.Rest whole>,rest,0:00:30,0:00:32,2.0
<music21.note.Rest whole>,rest,0:00:32,0:00:34,2.0
<music21.note.Rest whole>,rest,0:00:34,0:00:36,2.0
<music21.note.Rest whole>,rest,0:00:36,0:00:38,2.0
<music21.note.Rest whole>,rest,0:00:38,0:00:40,2.0
<music21.note.Note E>,E2,0:00:40,0:00:40.750000,0.75
<music21.note.Note E>,E2,0:00:40.750000,0:00:41,0.25
<music21.note.Note G>,G2,0:00:41,0:00:41.375000,0.375
<music21.note.Note E>,E2,0:00:41.375000,0:00:41.750000,0.375
<music21.note.Note D>,D2,0:00:41.750000,0:00:42,0.25
<music21.note.Note C>,C2,0:00:42,0:00:42.375000,0.375
<music21.note.Note D>,D2,0:00:42.375000,0:00:42.750000,0.375
<music21.note.Note C>,C2,0:00:42.750000,0:00:43,0.25
<music21.note.Note B>,B1,0:00:43,0:00:44,1.0
<music21.note.Rest whole>,rest,0:00:44,0:00:46,2.0
<music21.note.Rest whole>,rest,0:00:46,0:00:48,2.0
<music21.note.Rest whole>,rest,0:00:48,0:00:50,2.0
<music21.note.Rest whole>,rest,0:00:50,0:00:52,2.0
<music21.note.Rest whole>,rest,0:00:52,0:00:54,2.0
<music21.note.Rest whole>,rest,0:00:54,0:00:56,2.0
<music21.note.Rest whole>,rest,0:00:56,0:00:58,2.0
<music21.note.Rest whole>,rest,0:00:58,0:01:00,2.0
<music21.note.Rest whole>,rest,0:01:00,0:01:02,2.0
<music21.note.Rest whole>,rest,0:01:02,0:01:04,2.0
