Element Object,Element Type,Pitch/Rest,Start Time,End Time,Duration (sec)
<music21.note.Rest quarter>,Rest,Rest,0:00:00,0:00:00.750000,0.75
<music21.note.Rest quarter>,Rest,Rest,0:00:00.750000,0:00:01.500000,0.75
<music21.note.Note B>,Note,B2,0:00:01.500000,0:00:02.062500,0.562
<music21.note.Note G#>,Note,G#2,0:00:02.062500,0:00:02.250000,0.188
<music21.note.Note E>,Note,E2,0:00:02.250000,0:00:03,0.75
<music21.note.Note G#>,Note,G#2,0:00:03,0:00:03.750000,0.75
<music21.note.Note B>,Note,B2,0:00:03.750000,0:00:04.500000,0.75
<music21.note.Note E>,Note,E3,0:00:04.500000,0:00:06,1.5
<music21.note.Note G#>,Note,G#3,0:00:06,0:00:06.562500,0.562
<music21.note.Note F#>,Note,F#3,0:00:06.562500,0:00:06.750000,0.188
<music21.note.Note E>,Note,E3,0:00:06.750000,0:00:07.500000,0.75
<music21.note.Note G#>,Note,G#2,0:00:07.500000,0:00:08.250000,0.75
<music21.note.Note A#>,Note,A#2,0:00:08.250000,0:00:09,0.75
<music21.note.Note B>,Note,B2,0:00:09,0:00:10.500000,1.5
<music21.note.Note B>,Note,B2,0:00:10.500000,0:00:10.875000,0.375
<music21.note.Note B>,Note,B2,0:00:10.875000,0:00:11.250000,0.375
<music21.note.Note G#>,Note,G#3,0:00:11.250000,0:00:12.375000,1.125
<music21.note.Note F#>,Note,F#3,0:00:12.375000,0:00:12.750000,0.375
<music21.note.Note E>,Note,E3,0:00:12.750000,0:00:13.500000,0.75
<music21.note.Note D#>,Note,D#3,0:00:13.500000,0:00:15,1.5
<music21.note.Note C#>,Note,C#3,0:00:15,0:00:15.375000,0.375
<music21.note.Note D#>,Note,D#3,0:00:15.375000,0:00:15.750000,0.375
<music21.note.Note E>,Note,E3,0:00:15.750000,0:00:16.500000,0.75
<music21.note.Note E>,Note,E3,0:00:16.500000,0:00:17.250000,0.75
<music21.note.Note B>,Note,B2,0:00:17.250000,0:00:18,0.75
<music21.note.Note G#>,Note,G#2,0:00:18,0:00:18.750000,0.75
<music21.note.Note E>,Note,E2,0:00:18.750000,0:00:19.500000,0.75
<music21.note.Note B>,Note,B2,0:00:19.500000,0:00:19.875000,0.375
<music21.note.Note G#>,Note,G#2,0:00:19.875000,0:00:20.250000,0.375
<music21.note.Note E>,Note,E2,0:00:20.250000,0:00:21,0.75
<music21.note.Note G#>,Note,G#2,0:00:21,0:00:21.750000,0.75
<music21.note.Note B>,Note,B2,0:00:21.750000,0:00:22.500000,0.75
<music21.note.Note E>,Note,E3,0:00:22.500000,0:00:24,1.5
<music21.note.Note G#>,Note,G#3,0:00:24,0:00:24.562500,0.562
<music21.note.Note F#>,Note,F#3,0:00:24.562500,0:00:24.750000,0.188
<music21.note.Note E>,Note,E3,0:00:24.750000,0:00:25.500000,0.75
<music21.note.Note G#>,Note,G#2,0:00:25.500000,0:00:26.250000,0.75
<music21.note.Note A#>,Note,A#2,0:00:26.250000,0:00:27,0.75
<music21.note.Note B>,Note,B2,0:00:27,0:00:28.500000,1.5
<music21.note.Note B>,Note,B2,0:00:28.500000,0:00:28.875000,0.375
<music21.note.Note B>,Note,B2,0:00:28.875000,0:00:29.250000,0.375
<music21.note.Note G#>,Note,G#3,0:00:29.250000,0:00:30.375000,1.125
<music21.note.Note F#>,Note,F#3,0:00:30.375000,0:00:30.750000,0.375
<music21.note.Note E>,Note,E3,0:00:30.750000,0:00:31.500000,0.75
<music21.note.Note D#>,Note,D#3,0:00:31.500000,0:00:33,1.5
<music21.note.Note C#>,Note,C#3,0:00:33,0:00:33.375000,0.375
<music21.note.Note D#>,Note,D#3,0:00:33.375000,0:00:33.750000,0.375
<music21.note.Note E>,Note,E3,0:00:33.750000,0:00:34.500000,0.75
